,WeekType,Time,Station,Direction1,Direction2
642,WEEKDAY,3,CC17/TE9,0,0
643,WEEKDAY,3,TE10,0,0
644,WEEKDAY,3,DT10/TE11,0,0
645,WEEKDAY,3,TE12,0,0
646,WEEKDAY,3,TE13,0,0
647,WEEKDAY,3,TE14/NS22,0,0
648,WEEKDAY,3,TE15,0,0
649,WEEKDAY,3,TE16,0,0
650,WEEKDAY,3,EW16/NE3/TE17,0,0
651,WEEKDAY,3,TE18,0,0
652,WEEKDAY,3,TE19,0,0
653,WEEKDAY,3,NS27/CE2/TE20,0,0
654,WEEKDAY,3,TE21,0,0
655,WEEKDAY,3,TE22,0,0
656,WEEKDAY,4,EW1,0,0
657,WEEKDAY,4,EW2,0,0
658,WEEKDAY,4,EW3,0,0
659,WEEKDAY,4,EW4,0,0
660,WEEKDAY,4,EW5,0,0
661,WEEKDAY,4,EW6,0,0
662,WEEKDAY,4,EW7,0,0
663,WEEKDAY,4,EW8,0,0
664,WEEKDAY,4,EW9,0,0
665,WEEKDAY,4,EW10,0,0
666,WEEKDAY,4,EW11,0,0
667,WEEKDAY,4,EW12,0,0
668,WEEKDAY,4,EW13,0,0
669,WEEKDAY,4,EW14,0,0
670,WEEKDAY,4,EW15,0,0
671,WEEKDAY,4,EW16,0,0
672,WEEKDAY,4,EW17,0,0
673,WEEKDAY,4,EW18,0,0
674,WEEKDAY,4,EW19,0,0
675,WEEKDAY,4,EW20,0,0
676,WEEKDAY,4,EW21,0,0
677,WEEKDAY,4,EW22,0,0
678,WEEKDAY,4,EW23,0,0
679,WEEKDAY,4,EW24,0,0
680,WEEKDAY,4,EW25,0,0
681,WEEKDAY,4,EW26,0,0
